t,Cb,x
160.75,0.716161244,0.1
161,0.702514511,0.1
161.25,0.824484966,0.1
161.5,0.730620416,0.1
161.75,0.70965793,0.1
162,0.779925273,0.1
162.25,0.691511154,0.1
162.5,0.652313569,0.1
162.75,0.912465516,0.1
163,0.671825984,0.1
163.25,0.827697803,0.1
163.5,0.877770562,0.1
163.75,0.832132933,0.1
164,0.546476137,0.1
164.25,0.696350785,0.1
164.5,0.702936975,0.1
164.75,0.736284828,0.1
165,0.662311309,0.1
165.25,0.728101057,0.1
165.5,0.736951402,0.1
165.75,0.906227453,0.1
166,0.859691045,0.1
166.25,0.639580081,0.1
166.5,0.706539792,0.1
166.75,0.656185419,0.1
167,0.609771426,0.1
167.25,0.738007297,0.1
167.5,0.812694757,0.1
167.75,0.544754815,0.1
168,0.763143803,0.1
168.25,0.644216345,0.1
168.5,0.683404487,0.1
168.75,0.77929191,0.1
169,0.719748235,0.1
169.25,0.637563961,0.1
169.5,0.733934175,0.1
169.75,0.987910183,0.1
170,0.717263532,0.1
170.25,0.820098282,0.1
170.5,0.770124901,0.1
170.75,0.672450377,0.1
171,0.507760889,0.1
171.25,0.657262288,0.1
171.5,0.682611956,0.1
171.75,0.482878839,0.1
172,0.63687595,0.1
172.25,0.667048041,0.1
172.5,0.510275143,0.1
172.75,0.622269104,0.1
173,0.511533436,0.1
173.25,0.6946121,0.1
173.5,0.798063515,0.1
173.75,0.603110072,0.1
174,0.557143501,0.1
174.25,0.53254616,0.1
174.5,0.583817269,0.1
174.75,0.496166489,0.1
175,0.689334916,0.1
175.25,0.51627683,0.1
175.5,0.662242435,0.1
175.75,0.227529695,0.1
176,0.595845315,0.1
176.25,0.487836417,0.1
176.5,0.825420569,0.1
176.75,0.404568866,0.1
177,0.635192385,0.1
177.25,0.570689867,0.1
177.5,0.306435917,0.1
177.75,0.697097489,0.1
178,0.424842637,0.1
178.25,0.523151987,0.1
178.5,0.6862813,0.1
178.75,0.603418711,0.1
179,0.550649163,0.1
179.25,0.653643006,0.1
179.5,0.506124063,0.1
179.75,0.596438511,0.1
180,0.482988658,0.1
180.25,0.603179939,0.1
180.5,0.557782958,0.1
180.75,0.518459584,0.1
181,0.659843787,0.1
181.25,0.604895442,0.1
181.5,0.709195951,0.1
181.75,0.442255616,0.1
182,0.643134758,0.1
182.25,0.449293235,0.1
182.5,0.577227117,0.1
182.75,0.353777152,0.1
183,0.41826926,0.1
183.25,0.568568489,0.1
183.5,0.546718885,0.1
183.75,0.590926005,0.1
184,0.526642035,0.1
184.25,0.695084245,0.1
184.5,0.656545182,0.1
184.75,0.512880898,0.1
185,0.455400633,0.1
185.25,0.517093699,0.1
185.5,0.303909356,0.1
185.75,0.530220319,0.1
186,0.585990176,0.1
186.25,0.415530655,0.1
186.5,0.4722728,0.1
186.75,0.589570268,0.1
187,0.494215692,0.1
187.25,0.515170382,0.1
187.5,0.520546547,0.1
187.75,0.583940599,0.1
188,0.517261763,0.1
188.25,0.435057987,0.1
188.5,0.527070021,0.1
188.75,0.496912716,0.1
189,0.441438935,0.1
189.25,0.240677702,0.1
189.5,0.50590859,0.1
189.75,0.539913447,0.1
190,0.540447535,0.1
190.25,0.633408372,0.1
190.5,0.268699818,0.1
190.75,0.496850399,0.1
191,0.500149164,0.1
191.25,0.326796994,0.1
191.5,0.429789639,0.1
191.75,0.5143732,0.1
192,0.68873972,0.1
192.25,0.550101495,0.1
192.5,0.265789476,0.1
192.75,0.505413829,0.1
193,0.382044779,0.1
193.25,0.472684591,0.1
193.5,0.269397903,0.1
193.75,0.445941746,0.1
194,0.485898855,0.1
194.25,0.399717541,0.1
194.5,0.600051711,0.1
194.75,0.657070058,0.1
195,0.492575931,0.1
195.25,0.573394224,0.1
195.5,0.206974407,0.1
195.75,0.605637697,0.1
196,0.295695152,0.1
196.25,0.418505403,0.1
196.5,0.572451018,0.1
196.75,0.354120146,0.1
197,0.381463735,0.1
197.25,0.323855427,0.1
197.5,0.336462195,0.1
197.75,0.403917266,0.1
198,0.602932707,0.1
198.25,0.482421894,0.1
198.5,0.503879916,0.1
198.75,0.230435987,0.1
199,0.724880361,0.1
199.25,0.334939776,0.1
199.5,0.390629119,0.1
199.75,0.650438759,0.1
200,0.4130138,0.1
200.25,0.39303885,0.1
200.5,0.490379103,0.1
200.75,0.460202976,0.1
201,0.552235154,0.1
201.25,0.605346357,0.1
201.5,0.410945296,0.1
201.75,0.274674229,0.1
202,0.265436639,0.1
202.25,0.317816298,0.1
202.5,0.349186679,0.1
202.75,0.480955981,0.1
203,0.248564704,0.1
203.25,0.485920805,0.1
203.5,0.294831712,0.1
203.75,0.422286682,0.1
204,0.281792899,0.1
204.25,0.499532553,0.1
204.5,0.40295495,0.1
204.75,0.388572714,0.1
205,0.472220063,0.1
205.25,0.325593613,0.1
205.5,0.551999041,0.1
205.75,0.710873464,0.1
206,0.279401749,0.1
206.25,0.457929385,0.1
206.5,0.476166657,0.1
206.75,0.289058339,0.1
207,0.542211057,0.1
207.25,0.576670091,0.1
207.5,0.437107897,0.1
207.75,0.53918593,0.1
208,0.407887679,0.1
208.25,0.489874495,0.1
208.5,0.410291764,0.1
208.75,0.250137641,0.1
209,0.575250205,0.1
209.25,0.42627099,0.1
209.5,0.321774336,0.1
209.75,0.321413791,0.1
210,0.183188075,0.1
210.25,0.323392347,0.1
210.5,0.386387834,0.1
210.75,0.669523741,0.1
211,0.253977277,0.1
211.25,0.343701025,0.1
211.5,0.384870755,0.1
211.75,0.216113918,0.1
212,0.449271034,0.1
212.25,0.504223831,0.1
212.5,0.414867097,0.1
212.75,0.461180531,0.1
213,0.349507002,0.1
213.25,0.419902588,0.1
213.5,0.21541909,0.1
213.75,0.304159798,0.1
214,0.344386207,0.1
214.25,0.35952406,0.1
214.5,0.243604137,0.1
214.75,0.312033596,0.1
215,0.188123497,0.1
215.25,0.280357788,0.1
215.5,0.249195065,0.1
215.75,0.397557555,0.1
216,0.198317815,0.1
216.25,0.560395159,0.1
216.5,0.280092033,0.1
216.75,0.384652722,0.1
217,0.255243087,0.1
217.25,0.194608345,0.1
217.5,0.253490964,0.1
217.75,0.053574372,0.1
218,0.164202599,0.1
218.25,0.390792209,0.1
218.5,0.193727581,0.1
218.75,0.307375242,0.1
219,0.335968059,0.1
219.25,0.462899784,0.1
219.5,0.491239863,0.1
219.75,0.182023736,0.1
220,0.196874125,0.1
220.25,0.469327843,0.1
220.5,0.235573658,0.1
220.75,0.321624335,0.1
