t,Ca,x
218.5,0.139448366,0.1
218.75,-0.026755256,0.1
219,0.123225073,0.1
219.25,0.135127754,0.1
219.5,0.124271766,0.1
219.75,-0.097840202,0.1
220,0.074130104,0.1
220.25,-0.119751287,0.1
220.5,-0.065664644,0.1
220.75,0.085532274,0.1
221,0.055826275,0.1
221.25,0.123815707,0.1
221.5,-0.044809633,0.1
221.75,0.059486818,0.1
222,0.113569694,0.1
222.25,-0.001188783,0.1
222.5,0.081320108,0.1
222.75,0.107337085,0.1
223,-0.117309787,0.1
223.25,-0.159174959,0.1
223.5,0.044183033,0.1
223.75,0.01676378,0.1
224,-0.297488734,0.1
224.25,-0.267853482,0.1
224.5,-0.047694265,0.1
224.75,-0.248885791,0.1
225,-0.076136326,0.1
225.25,-0.061035595,0.1
225.5,-0.191466776,0.1
225.75,0.154915901,0.1
226,-0.261796198,0.1
226.25,0.211524982,0.1
226.5,-0.263778246,0.1
226.75,-0.164636783,0.1
227,0.012303096,0.1
227.25,-0.077112449,0.1
227.5,0.055810952,0.1
227.75,0.04411686,0.1
228,0.108989037,0.1
228.25,-0.042383992,0.1
228.5,0.015514908,0.1
228.75,0.157124168,0.1
229,-0.029044555,0.1
229.25,-0.004197239,0.1
229.5,-0.019136547,0.1
229.75,-0.027179665,0.1
230,-0.070851575,0.1
230.25,-0.103885102,0.1
230.5,0.129850821,0.1
230.75,0.057406607,0.1
231,-0.034877379,0.1
231.25,0.024003479,0.1
231.5,-0.019982914,0.1
231.75,-0.112792334,0.1
232,0.081645617,0.1
232.25,0.009793907,0.1
232.5,-0.097376841,0.1
232.75,0.013172332,0.1
233,0.104566189,0.1
233.25,0.115387329,0.1
233.5,0.06671748,0.1
233.75,-0.184750819,0.1
234,-0.06753965,0.1
234.25,0.046921882,0.1
234.5,-0.176965767,0.1
234.75,0.066350804,0.1
235,-0.177610038,0.1
235.25,0.069356645,0.1
235.5,-0.301774962,0.1
235.75,0.068049377,0.1
236,0.016696414,0.1
236.25,-0.141829558,0.1
236.5,-0.004791812,0.1
236.75,0.12497081,0.1
237,-0.060549513,0.1
237.25,-0.157645691,0.1
237.5,0.081679113,0.1
237.75,-0.170491334,0.1
238,-0.064409576,0.1
238.25,0.291234955,0.1
238.5,-0.051536791,0.1
238.75,-0.092177298,0.1
239,-0.094934268,0.1
239.25,-0.04363179,0.1
239.5,0.120788679,0.1
239.75,0.196957504,0.1
240,0.020254847,0.1
240.25,0.050881958,0.1
240.5,0.209544015,0.1
240.75,-0.049333543,0.1
241,-0.068648335,0.1
241.25,0.006179638,0.1
241.5,0.0266543,0.1
241.75,0.034611848,0.1
242,0.243826267,0.1
242.25,0.113682517,0.1
242.5,0.026473996,0.1
242.75,-0.197019508,0.1
243,0.004068624,0.1
243.25,-0.158845868,0.1
243.5,-0.128927638,0.1
243.75,0.072728502,0.1
244,-0.179874475,0.1
244.25,-0.004645112,0.1
244.5,0.138406105,0.1
244.75,0.047709744,0.1
245,-0.021637122,0.1
245.25,-0.086831368,0.1
245.5,-0.089306586,0.1
245.75,0.045312925,0.1
246,0.019473687,0.1
246.25,0.150499918,0.1
246.5,0.010691751,0.1
246.75,-0.025260605,0.1
247,0.052265435,0.1
247.25,0.006249104,0.1
247.5,-0.056250513,0.1
247.75,-0.076089768,0.1
248,0.108545855,0.1
248.25,0.00755078,0.1
248.5,-0.055694979,0.1
248.75,-0.263864541,0.1
249,0.122325421,0.1
249.25,-0.094172817,0.1
249.5,0.077628764,0.1
249.75,-0.180465765,0.1
250,0.022386048,0.1
250.25,0.109632872,0.1
250.5,0.001017045,0.1
250.75,-0.100523164,0.1
251,-0.139645441,0.1
251.25,0.017425241,0.1
251.5,0.045648489,0.1
251.75,-0.011527135,0.1
252,0.388525973,0.1
252.25,0.643564609,0.1
252.5,0.63900058,0.1
252.75,1.181705047,0.1
